cable	dây
hard drive	ổ cứng
keyboard	bàn phím
laptop	máy tính xách tay
mouse	chuột
printer	máy in
screen	màn hình
speakers	loa
Account executive	nhân viên phòng khách hàng
Advertiser	Khách hàng, người sử dụng quảng cáo
Advertising agency	Công ty quảng cáo, đại diện quảng cáo
Advertising appeal	Sức hút của quảng cáo
Advertising campaign	Chiến dịch quảng bá
Advertising environment	Môi trường quảng cáo
Advertising objectives	Mục tiêu quảng bá
Advertising plan	Kế hoạch quảng bá
Advertising research	Nghiên cứu quảng cáo
Advertising strategy	Chiến lược quảng cáo
Affidavit of performance	Bản kê phát sóng thực tế, năng lực
Agency network	Hệ thống các công ty quảng cáo
Agency of record	Bộ phận đăng ký, book quảng cáo
Animatic	Phần vẽ mô tả kịch bản outlines
Answer print	Bản in thử để khách hàng ký duyệt
Attention value	Đánh giá mức độ tập trung
Audiometer	Máy đếm âm
Audio	Quảng cáo bằng âm thanh
Average frequency	Tần suất trung bình
Barter	Phương thức trao đổi hàng, dịch vụ
Behavior segmentation	Phân khúc theo thị hiếu khách hàng
Benefit segmentation	Phân khúc theo lợi ích khách hàng
Big idea	Ý tưởng sáng tạo
Billboard	Biển bảng
Body copy	Viết nội dung thân bài cho quảng cáo
Brainstorming	Não công
Brand	Thương hiệu
Brand development index	Chỉ số phát triển thương hiệu
Brand loyalty	Mức độ trung thành với thương hiệu
Broadsheet	Biểu ngữ, giấy in một mặt
Bursting	Thường xuyên và liên tục
Business advertising	Quảng cáo dành cho đối tượng Business
Buying center	Bộ phận mua dịch vụ
Call to action	Lời kêu gọi hành động
Camera ready	Sẵn sàng cho làm phim
Camera separation	Tách màu, tạo phim negative
Carrying effect	Hiệu quả thực hiện chiến dịch
Collateral sales material	Công cụ hỗ trợ kinh doanh trong QC
Color separation	Tách màu
Combination rate	Chi phí quảng cáo tổng hợp
Commission	Hoa hồng quảng cáo
Communication objectives	Mục tiêu truyền thông
Comparative parity method	Phương pháp luận lập kế hoạch so sánh
Composition	Thành phần, nội dung mẫu quảng cáo
Consumer advertising	Quảng cáo nhắm tới đối tượng tiêu
Database	Cơ sở dữ liệu
Display advertising	Quảng cáo trưng bày
Dummy	Bản duyệt trước khi triển khai
Editor	Người biên tập
Event sponsorship	Tài trợ sự kiện
Execution	Sản phẩm quảng cáo thực tế
Film negative	Phim âm bản, làm âm bản phim
Flat rate	Giá quảng cáo không có giảm giá
Local advertising	Quảng cáo tại địa phương
Makegood	Quảng cáo thiện chí, hỗ trợ, đền bù.
Market research	Nghiên cứu thị trường
Market segment	Phân khúc thị trường
Marketing	Làm thị trường, lên chiến lược thị trường
Marketing concept	Khái niệm về làm thị trường
Marketing plan	Kế hoạch thị trường
Mass marketing	Làm thị trường trên quy mô lớn, tổng thể
Media buyer	Người mua sản phẩm truyền thông
Media mix	Truyền thông hỗn hợp, Media vehicle Kênh truyền thông
Message research	Nghiên cứu thông điệp
News release	Ra tin, phát hành tin trên báo
Objective and task method	Phương pháp luận mục tiêu và ngân sách
Offset lithography	Phương pháp in offset dùng
